Instruction,Count,Implemented
IMAD,44122,T
IADD3,25321,T
ISETP,21154,T
MOV,18623,T
LDG,15215,T
FFMA,13392,T
FADD,11544,T
BRA,9561,T
LEA,8106,T
LDS,7051,T
STS,5239,T
PRMT,4553,F
SHF,4255,T
STG,4152,T
DFMA,4076,F
FMUL,3956,T
LOP3,3267,T
HADD2,3183,F
IADD,3100,T
CS2R,2969,F
DADD,2130,F
SEL,1944,T
BAR,1726,T
S2R,1721,T
BMOV,1553,T
BSSY,1553,T
BSYNC,1553,T
NOP,1468,T
ULDC,1465,T
PLOP3,1459,T
EXIT,1389,T
I2F,1326,T
SHL,1042,F
DMUL,1014,F
USHF,961,T
UIADD3,773,T
UMOV,757,T
LD,724,F
UIMAD,680,F
FSETP,670,T
FSEL,453,T
MUFU,384,T
F2F,377,T
F2I,313,T
ULOP3,304,T
IMNMX,278,T
ULEA,265,F
USEL,246,T
SHFL,240,F
IABS,228,T
